symbol,as_of,close,status,tt_count,tt_pass,tt1,tt2,tt3,tt4,tt5,tt6,tt7,tt8,regime_on,rs,rs_proxy_pp,pivot,to_pivot_pct,breakout_pct,vol_x,ma50,exit_ma,ma150,ma200,from_high52_pct,in_position,entry_date,entry_price,stop_price,exit_pending,entry_pending,stop_if_filled_at_close
INTU,2026-09-25,275.79,후보 아님 (트렌드 템플릿 0/8),0,False,False,False,False,False,False,False,False,False,True,2.02,-46.83,365.77,32.63,-24.6,0.81,324.6498,324.6498,350.4969,403.4292,-60.5,False,,,,False,False,256.4847
ISRG,2026-09-25,405.18,후보 아님 (트렌드 템플릿 1/8),1,False,False,False,False,False,True,False,False,False,True,19.19,-27.28,404.44,-0.18,0.18,0.8,373.93,373.93,422.3209,450.8979,-31.66,False,,,,False,False,376.8174
KDP,2026-09-25,31.95,후보 아님 (트렌드 템플릿 6/8),6,False,True,True,True,True,True,False,True,False,True,51.52,-7.07,33.17,3.82,-3.68,0.79,31.1982,31.1982,29.7813,29.3911,-4.63,False,,,,False,False,29.7135
KLAC,2026-09-25,187.92,후보 아님 (트렌드 템플릿 4/8),4,False,False,True,True,True,False,True,False,False,True,65.66,4.02,190.87,1.57,-1.55,0.68,188.8884,188.8884,188.399,175.9362,-37.72,False,,,,False,False,174.7656
LIN,2026-09-25,469.89,후보 아님 (트렌드 템플릿 3/8),3,False,False,True,True,False,False,False,True,False,True,35.35,-19.84,492.49,4.81,-4.59,0.78,484.0786,484.0786,498.3278,484.4798,-14.04,False,,,,False,False,436.9977
LITE,2026-09-25,941.65,3순위 · 관찰,8,True,True,True,True,True,True,True,True,True,True,96.97,128.44,1026.76,9.04,-8.29,0.81,859.0655,859.0655,834.147,729.229,-10.58,False,,,,False,False,875.7345
LRCX,2026-09-25,315.21,후보 아님 (트렌드 템플릿 7/8),7,False,True,True,True,True,True,True,False,True,True,83.84,31.26,322.21,2.22,-2.17,0.72,304.5838,304.5838,292.4955,270.9322,-27.26,False,,,,False,False,293.1453
MAR,2026-09-25,352.03,후보 아님 (트렌드 템플릿 4/8),4,False,False,True,True,False,False,True,True,False,True,45.45,-8.7,358.16,1.74,-1.71,0.83,352.8082,352.8082,356.4793,347.8021,-12.55,False,,,,False,False,327.3879
MCHP,2026-09-25,78.69,후보 아님 (트렌드 템플릿 5/8),5,False,False,True,True,False,True,True,True,False,True,47.47,-8.61,76.55,-2.72,2.8,0.92,76.1326,76.1326,80.6287,78.6088,-23.54,False,,,,False,False,73.1817
MDLZ,2026-09-25,60.25,후보 아님 (트렌드 템플릿 4/8),4,False,False,True,True,True,False,False,True,False,True,40.4,-15.37,63.83,5.94,-5.61,0.66,62.0986,62.0986,60.3997,59.484,-7.29,False,,,,False,False,56.0325
MELI,2026-09-25,1752.61,후보 아님 (트렌드 템플릿 1/8),1,False,False,False,False,True,False,False,False,False,True,29.29,-22.04,2066.0,17.88,-15.17,1.05,1870.6476,1870.6476,1772.7205,1845.1147,-29.93,False,,,,False,False,1629.9273
META,2026-09-25,751.66,후보 아님 (트렌드 템플릿 6/8),6,False,True,False,True,False,True,True,True,True,True,71.72,7.56,779.82,3.75,-3.61,1.35,615.7464,615.7464,616.29,626.4722,-3.33,False,,,,False,False,699.0438
MNST,2026-09-25,43.11,후보 아님 (트렌드 템플릿 5/8),5,False,False,True,True,True,False,True,True,False,True,48.48,-8.41,47.15,9.37,-8.57,0.84,46.0446,46.0446,43.2408,42.2673,-13.73,False,,,,False,False,40.0923
MPWR,2026-09-25,1367.4301,후보 아님 (트렌드 템플릿 7/8),7,False,True,True,True,False,True,True,True,True,True,75.76,9.67,1387.46,1.46,-1.44,0.66,1303.8242,1303.8242,1349.4743,1273.1314,-19.08,False,,,,False,False,1271.71
MRVL,2026-09-25,261.935,2순위 · 근접 (피벗 3% 이내),8,True,True,True,True,True,True,True,True,True,True,93.94,101.16,266.0,1.55,-1.53,0.51,220.5695,220.5695,189.0811,162.5118,-17.22,False,,,,False,False,243.5995
MSFT,2026-09-25,516.17,후보 아님 (트렌드 템플릿 7/8),7,False,True,False,True,True,True,True,True,True,True,73.74,8.1,517.78,0.31,-0.31,1.33,475.8116,475.8116,424.7042,432.0609,-4.78,False,,,,False,False,480.0381
MSTR,2026-09-25,158.61,후보 아님 (트렌드 템플릿 4/8),4,False,True,False,False,False,True,True,False,True,True,79.8,13.94,171.19,7.93,-7.35,0.8,117.6638,117.6638,130.6653,136.5416,-55.9,False,,,,False,False,147.5073
MU,2026-09-25,1082.28,2순위 · 근접 (피벗 3% 이내),8,True,True,True,True,True,True,True,True,True,True,98.99,194.42,1105.5,2.15,-2.1,0.58,941.6152,941.6152,766.5865,661.0982,-10.82,False,,,,False,False,1006.5204
NBIS,2026-09-25,237.33,3순위 · 관찰,8,True,True,True,True,True,True,True,True,True,True,89.9,62.03,254.74,7.34,-6.83,0.51,215.575,215.575,187.8622,164.1041,-17.22,False,,,,False,False,220.7169
NFLX,2026-09-25,71.145,후보 아님 (트렌드 템플릿 0/8),0,False,False,False,False,False,False,False,False,False,True,5.05,-36.07,83.6,17.51,-14.9,0.6,75.5369,75.5369,83.8011,84.7127,-42.69,False,,,,False,False,66.1648
NVDA,2026-09-25,225.07,후보 아님 (트렌드 템플릿 7/8),7,False,True,True,True,True,True,True,True,False,True,67.68,5.37,234.76,4.31,-4.13,0.71,215.977,215.977,204.3643,199.4732,-4.53,False,,,,False,False,209.3151
NXPI,2026-09-25,238.08,후보 아님 (트렌드 템플릿 3/8),3,False,False,True,True,False,True,False,False,False,True,39.39,-16.36,238.94,0.36,-0.36,0.68,236.039,236.039,250.0975,245.4907,-28.43,False,,,,False,False,221.4144
ODFL,2026-09-25,173.3,후보 아님 (트렌드 템플릿 3/8),3,False,False,True,True,False,False,True,False,False,True,32.32,-20.36,203.44,17.39,-14.82,0.71,202.1212,202.1212,207.6901,199.2769,-30.33,False,,,,False,False,161.169
